epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0201,1.24341,5.27755,1.04746,0.71918,0.76429,0.80887,0.51596,1.06672,1.86012,0.91608,0.00331897,0.00331897,0.00331897
2,74.4702,1.26013,2.10473,1.02142,0.81105,0.76429,0.83649,0.51849,1.19759,1.14667,0.93726,0.00664571,0.00664571,0.00664571
3,100.707,1.3597,1.52383,1.0828,0.769,0.71337,0.79121,0.46456,1.38607,1.32507,1.07444,0.00996586,0.00996586,0.00996586
4,126.32,1.45784,1.35485,1.1522,0.65972,0.67856,0.68944,0.42914,1.3479,1.1894,1.06323,0.0099703,0.0099703,0.0099703
5,151.818,1.42274,1.24434,1.12811,0.85804,0.69286,0.82404,0.53552,1.23778,0.92798,1.01305,0.0099604,0.0099604,0.0099604
6,177.555,1.40594,1.1955,1.15662,0.81551,0.82095,0.87032,0.56417,1.16972,0.91612,0.99195,0.0099505,0.0099505,0.0099505
7,203.077,1.30707,1.01952,1.12126,0.88283,0.86113,0.92062,0.61809,1.10975,0.76974,0.96851,0.0099406,0.0099406,0.0099406
8,229.213,1.27615,0.99252,1.08822,0.87867,0.8,0.90401,0.60461,1.1256,0.77235,0.98689,0.0099307,0.0099307,0.0099307
9,255.35,1.30704,0.98591,1.09269,0.84603,0.85714,0.91128,0.59335,1.18192,0.79314,0.98131,0.0099208,0.0099208,0.0099208
10,281.584,1.27024,0.94562,1.07517,0.90903,0.85655,0.92115,0.62844,1.09873,0.73737,0.95699,0.0099109,0.0099109,0.0099109
11,307.251,1.2016,0.87686,1.05631,0.79548,0.86126,0.88839,0.60805,1.0831,0.78685,0.95095,0.009901,0.009901,0.009901
12,333.006,1.19215,0.85661,1.06804,0.94051,0.83571,0.92778,0.64711,1.04709,0.70618,0.9535,0.0098911,0.0098911,0.0098911
13,358.667,1.20718,0.87971,1.06345,0.91387,0.82857,0.92133,0.62754,1.03872,0.7413,0.92987,0.0098812,0.0098812,0.0098812
14,384.313,1.17522,0.84683,1.05592,0.90168,0.85162,0.92782,0.65482,1.02053,0.68307,0.94069,0.0098713,0.0098713,0.0098713
15,410.183,1.17474,0.86754,1.05563,0.87455,0.90714,0.92743,0.63777,1.03307,0.68579,0.94375,0.0098614,0.0098614,0.0098614
16,436.45,1.14885,0.80665,1.052,0.91704,0.87857,0.91981,0.65169,1.02285,0.69715,0.9454,0.0098515,0.0098515,0.0098515
17,462.739,1.09749,0.77792,1.02542,0.87142,0.86429,0.93096,0.65673,0.92794,0.66844,0.92051,0.0098416,0.0098416,0.0098416
18,488.899,1.10006,0.78952,1.02472,0.89319,0.86429,0.93899,0.67651,0.92915,0.60603,0.91314,0.0098317,0.0098317,0.0098317
19,514.513,1.11223,0.77802,1.02895,0.8701,0.9,0.93034,0.67512,0.92187,0.65765,0.911,0.0098218,0.0098218,0.0098218
20,540.368,1.09322,0.78182,1.00923,0.85789,0.85714,0.90605,0.63785,1.02115,0.73345,0.92549,0.0098119,0.0098119,0.0098119
21,566.051,1.08578,0.75998,1.0208,0.93976,0.89286,0.94936,0.68732,0.91121,0.62177,0.9038,0.009802,0.009802,0.009802
22,592.285,1.0904,0.77025,1.03344,0.86049,0.87857,0.92408,0.6586,1.00623,0.61585,0.96322,0.0097921,0.0097921,0.0097921
23,618.417,1.07832,0.74437,1.00765,0.89031,0.94286,0.95079,0.69686,0.91085,0.60258,0.8902,0.0097822,0.0097822,0.0097822
24,643.918,1.05432,0.73666,1.01212,0.88774,0.91429,0.93539,0.68074,0.9186,0.61783,0.90076,0.0097723,0.0097723,0.0097723
25,669.999,1.01398,0.72229,0.99048,0.86517,0.87086,0.93996,0.68703,0.88979,0.59152,0.89265,0.0097624,0.0097624,0.0097624
26,695.543,1.01778,0.695,0.99932,0.93423,0.84286,0.91958,0.67741,0.88893,0.59503,0.9137,0.0097525,0.0097525,0.0097525
27,721.862,1.04199,0.71402,1.001,0.90338,0.93502,0.94198,0.686,0.91286,0.56828,0.90118,0.0097426,0.0097426,0.0097426
28,747.82,1.00158,0.69761,0.99532,0.91265,0.89562,0.94471,0.71953,0.84877,0.56931,0.89178,0.0097327,0.0097327,0.0097327
29,773.897,1.00172,0.69999,0.99631,0.94123,0.84286,0.94909,0.68802,0.91516,0.57479,0.8994,0.0097228,0.0097228,0.0097228
30,800.167,1.02539,0.69257,0.99301,0.90072,0.90721,0.94731,0.68906,0.93442,0.58481,0.90665,0.0097129,0.0097129,0.0097129
31,826.283,0.99392,0.67298,0.98769,0.93891,0.90714,0.96014,0.71027,0.8909,0.55578,0.89651,0.009703,0.009703,0.009703
32,852.026,0.97121,0.65466,0.97846,0.88235,0.88571,0.93612,0.69605,0.91637,0.5714,0.90713,0.0096931,0.0096931,0.0096931
33,877.574,0.98777,0.68416,0.98603,0.88174,0.85214,0.91481,0.6754,0.93243,0.62794,0.90544,0.0096832,0.0096832,0.0096832
34,903.262,0.98183,0.68089,0.97588,0.88462,0.87627,0.92688,0.70262,0.86548,0.60446,0.88785,0.0096733,0.0096733,0.0096733
35,929.232,0.96716,0.65336,0.96735,0.93544,0.89286,0.94452,0.71703,0.8498,0.56991,0.88093,0.0096634,0.0096634,0.0096634
36,955.034,0.9488,0.65155,0.96893,0.90544,0.87143,0.93315,0.71092,0.84584,0.57507,0.88081,0.0096535,0.0096535,0.0096535
37,980.683,0.96842,0.65348,0.97294,0.87586,0.92857,0.93375,0.72262,0.82739,0.55226,0.88323,0.0096436,0.0096436,0.0096436
38,1007.12,0.97543,0.66169,0.9725,0.86097,0.92894,0.94886,0.73076,0.8581,0.58692,0.87879,0.0096337,0.0096337,0.0096337
39,1032.56,0.96832,0.69006,0.98143,0.95189,0.86429,0.95173,0.71478,0.8559,0.56548,0.8833,0.0096238,0.0096238,0.0096238
40,1058.15,0.97954,0.6862,0.97981,0.93221,0.89286,0.9501,0.72753,0.78713,0.54503,0.85459,0.0096139,0.0096139,0.0096139
41,1083.79,0.96742,0.65149,0.97245,0.92636,0.89849,0.94332,0.72293,0.82345,0.54884,0.86788,0.009604,0.009604,0.009604
42,1109.2,0.96948,0.66715,0.97143,0.95355,0.87983,0.96066,0.73801,0.82922,0.54543,0.86539,0.0095941,0.0095941,0.0095941
