epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.285,1.53744,6.10042,1.06314,0.06793,0.41667,0.18416,0.12076,1.26458,3.19893,0.97259,0.00329412,0.00329412,0.00329412
2,30.7207,1.6322,2.12993,1.029,0.60802,0.46667,0.51265,0.2793,1.31157,1.22255,0.95849,0.00662089,0.00662089,0.00662089
3,44.9457,1.65265,1.4338,1.09849,0.53148,0.36667,0.35598,0.20183,1.57582,1.74335,1.18595,0.00994106,0.00994106,0.00994106
4,59.2299,1.70974,1.39948,1.18586,0.47238,0.55,0.37087,0.19517,1.35265,1.5825,1.12458,0.0099703,0.0099703,0.0099703
5,73.3977,1.61133,1.35096,1.2173,0.64113,0.45,0.5,0.29389,1.51717,1.2854,1.19021,0.0099604,0.0099604,0.0099604
6,87.4571,1.71869,1.2463,1.19025,0.67719,0.58333,0.60663,0.28998,1.41765,1.07399,1.07603,0.0099505,0.0099505,0.0099505
7,101.653,1.61692,1.239,1.1866,0.62099,0.53333,0.57701,0.31142,1.44383,1.30371,1.12915,0.0099406,0.0099406,0.0099406
8,115.844,1.62906,1.15518,1.19395,0.81841,0.63333,0.72336,0.40106,1.28766,0.9736,1.06493,0.0099307,0.0099307,0.0099307
9,130.113,1.49451,1.04501,1.16701,0.6991,0.71667,0.68342,0.39216,1.33552,1.04223,1.15894,0.0099208,0.0099208,0.0099208
10,144.263,1.59375,1.0364,1.15571,0.82224,0.56667,0.71131,0.36307,1.32133,0.9145,1.05106,0.0099109,0.0099109,0.0099109
11,158.313,1.65743,1.06041,1.17803,0.73882,0.58333,0.66679,0.33814,1.41226,1.04924,1.19425,0.009901,0.009901,0.009901
12,172.472,1.41552,0.95705,1.13811,0.82627,0.63414,0.7189,0.4172,1.31003,0.93162,1.19642,0.0098911,0.0098911,0.0098911
13,186.667,1.44739,0.92593,1.13858,0.86485,0.55,0.72738,0.43908,1.35521,0.8925,1.09668,0.0098812,0.0098812,0.0098812
14,200.907,1.50546,0.9282,1.15301,0.61195,0.78333,0.71498,0.40651,1.27345,0.92295,1.1625,0.0098713,0.0098713,0.0098713
15,215,1.35143,0.88078,1.10831,0.75583,0.76667,0.78772,0.43086,1.26681,0.91635,1.19355,0.0098614,0.0098614,0.0098614
16,229.141,1.41004,0.91836,1.11679,0.70405,0.7,0.75983,0.44232,1.2677,0.92422,1.14678,0.0098515,0.0098515,0.0098515
17,243.171,1.37547,0.88984,1.12013,0.63425,0.76667,0.69696,0.40242,1.26542,0.94415,1.17578,0.0098416,0.0098416,0.0098416
18,257.249,1.36131,0.91712,1.1064,0.79369,0.76946,0.81107,0.46812,1.11513,0.82441,1.08477,0.0098317,0.0098317,0.0098317
19,271.419,1.34728,0.87091,1.09556,0.72417,0.8314,0.81537,0.4844,1.13864,0.7801,1.05113,0.0098218,0.0098218,0.0098218
20,285.527,1.40029,0.86966,1.09498,0.86493,0.66667,0.80625,0.47623,1.29344,0.76964,1.06649,0.0098119,0.0098119,0.0098119
