                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1086,                 5.7465,                  1.027,                0.91433,                0.74713,                0.88398,                 0.6456,                0.88194,                 2.6264,                0.85232,               0.003312,               0.003312,               0.003312
                      2,                 1.0614,                 2.1537,                 0.9791,                0.79987,                0.68966,                 0.7872,                0.54001,                 1.0783,                 1.1639,                0.91164,              0.0066387,              0.0066387,              0.0066387
                      3,                 1.1649,                  1.426,                 1.0258,                0.67938,                0.82759,                0.78981,                0.47338,                 1.2042,                 1.3809,                0.98498,              0.0099589,              0.0099589,              0.0099589
                      4,                 1.3015,                 1.2599,                 1.0961,                0.86697,                0.68966,                0.82662,                0.51689,                 1.2124,                 1.1038,                0.97222,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.3468,                 1.0941,                 1.1157,                0.91311,                0.84558,                0.91444,                0.58113,                 1.1184,                 1.1015,                0.98518,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.2695,                0.97173,                 1.1145,                0.78693,                0.85057,                0.87638,                0.55109,                 1.1544,                 1.0782,                 1.0164,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.2485,                0.93954,                 1.1305,                0.90297,                0.81609,                0.92763,                0.60722,                 1.0603,                0.72741,                 0.9694,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.2238,                0.87798,                  1.114,                0.85831,                0.82759,                0.88483,                0.58694,                  1.073,                 0.8003,                0.98844,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1921,                0.84893,                 1.1009,                0.95161,                0.85057,                0.95125,                0.63864,                 1.0431,                0.63563,                0.95842,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1748,                0.82541,                  1.084,                0.85576,                0.88506,                0.92484,                0.61468,                 1.0109,                0.68919,                0.97273,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.1607,                 0.8034,                 1.0794,                 0.8611,                0.92638,                0.94969,                0.65523,                0.98196,                0.63289,                 0.9635,               0.009901,               0.009901,               0.009901
                     12,                 1.1371,                0.77913,                  1.073,                0.90396,                0.89655,                0.93715,                0.67204,                0.89557,                0.60467,                0.93236,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0753,                0.74358,                 1.0621,                0.86259,                0.93807,                0.94127,                0.64009,                0.89427,                0.62751,                0.93442,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0812,                0.75027,                  1.033,                0.86808,                0.87356,                 0.9165,                0.63873,                0.96635,                0.62676,                0.94423,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0182,                0.72356,                 1.0443,                0.92209,                0.82759,                0.91922,                0.64514,                0.89102,                0.61114,                0.92716,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0428,                0.69787,                 1.0435,                0.86943,                0.88506,                0.92014,                0.64345,                0.91651,                0.66911,                   0.94,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.0457,                0.70402,                 1.0349,                0.93218,                0.89655,                0.96003,                 0.6725,                0.89455,                0.60244,                0.92158,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.0271,                0.70242,                 1.0247,                0.90123,                0.91954,                0.95296,                0.64571,                0.90825,                0.57399,                0.91431,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.0424,                0.71121,                  1.035,                0.90283,                0.90805,                0.95418,                0.67837,                0.83704,                 0.5248,                0.91475,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.0194,                0.67927,                 1.0349,                0.89871,                0.90805,                0.94832,                0.68494,                0.87837,                0.55363,                0.91945,              0.0098119,              0.0098119,              0.0098119
                     21,                0.99299,                0.65756,                 1.0239,                0.94981,                0.87356,                0.95375,                0.68537,                0.84258,                0.52874,                0.91718,               0.009802,               0.009802,               0.009802
                     22,                0.94457,                0.63667,                0.99452,                0.95027,                0.87863,                0.94224,                0.68971,                 0.8003,                0.61496,                0.91016,              0.0097921,              0.0097921,              0.0097921
                     23,                0.94179,                0.63375,                0.98712,                0.96504,                0.86207,                0.95086,                0.70254,                0.82297,                0.52674,                0.92066,              0.0097822,              0.0097822,              0.0097822
                     24,                0.95151,                0.63778,                 1.0134,                0.95014,                0.91954,                0.94028,                0.70552,                0.84997,                0.54925,                0.91225,              0.0097723,              0.0097723,              0.0097723
                     25,                0.93867,                0.61351,                0.99785,                0.89867,                 0.9175,                0.93717,                 0.6939,                0.86798,                0.60022,                0.92073,              0.0097624,              0.0097624,              0.0097624
                     26,                0.93844,                0.62738,                0.99179,                0.89656,                0.89661,                0.91801,                0.67677,                0.88282,                0.55932,                0.94174,              0.0097525,              0.0097525,              0.0097525
                     27,                0.93582,                0.60378,                0.98481,                0.96466,                0.94131,                0.96924,                0.71059,                0.80234,                0.49232,                0.89749,              0.0097426,              0.0097426,              0.0097426
                     28,                0.89435,                0.58451,                 0.9899,                0.93096,                0.92992,                0.95668,                0.72623,                0.79695,                0.50875,                 0.8996,              0.0097327,              0.0097327,              0.0097327
                     29,                0.91431,                0.59146,                0.98839,                0.93858,                0.93103,                 0.9585,                0.71229,                0.78136,                0.49917,                0.91029,              0.0097228,              0.0097228,              0.0097228
                     30,                0.88542,                 0.5819,                0.97651,                0.96254,                0.88613,                0.96452,                0.70531,                0.82755,                0.51581,                0.90798,              0.0097129,              0.0097129,              0.0097129
                     31,                0.90068,                 0.5876,                 1.0024,                0.95156,                0.90313,                0.96099,                 0.7059,                0.82326,                0.50152,                0.90337,               0.009703,               0.009703,               0.009703
                     32,                0.87635,                0.57807,                0.98588,                0.90991,                0.92873,                0.96172,                 0.7327,                0.75873,                 0.5037,                0.89761,              0.0096931,              0.0096931,              0.0096931
                     33,                0.91545,                0.60649,                0.98801,                0.98756,                0.91247,                0.96832,                0.72951,                 0.7696,                 0.5103,                0.87848,              0.0096832,              0.0096832,              0.0096832
                     34,                0.85765,                0.56805,                0.96848,                0.95349,                0.94253,                0.96367,                0.73356,                0.76413,                0.47729,                  0.906,              0.0096733,              0.0096733,              0.0096733
                     35,                0.87355,                0.56817,                0.98605,                0.94683,                0.93103,                0.97043,                0.74132,                0.77557,                0.48151,                0.87891,              0.0096634,              0.0096634,              0.0096634
                     36,                0.86163,                0.55816,                0.95836,                0.93375,                0.94253,                0.96292,                0.72592,                0.77655,                0.48291,                0.90108,              0.0096535,              0.0096535,              0.0096535
                     37,                0.86394,                0.56991,                0.96619,                0.95857,                0.93103,                0.96727,                0.71317,                0.83409,                0.48577,                0.92236,              0.0096436,              0.0096436,              0.0096436
                     38,                0.84663,                0.53749,                0.97049,                0.93018,                0.93103,                0.95746,                0.72152,                0.83515,                0.49002,                0.90395,              0.0096337,              0.0096337,              0.0096337
                     39,                0.82823,                  0.544,                0.95907,                0.91871,                0.91954,                0.93717,                0.72645,                0.79086,                0.47146,                0.90526,              0.0096238,              0.0096238,              0.0096238
                     40,                 0.8707,                0.56349,                0.98122,                0.94517,                0.90805,                0.96838,                0.74732,                   0.75,                  0.475,                0.88906,              0.0096139,              0.0096139,              0.0096139
                     41,                0.82621,                0.54184,                0.94138,                0.91831,                0.90805,                0.94511,                0.73237,                 0.7616,                0.48679,                0.88984,               0.009604,               0.009604,               0.009604
                     42,                0.81628,                0.52795,                0.95717,                0.88085,                0.89655,                0.93037,                0.72728,                0.73681,                 0.4971,                0.89198,              0.0095941,              0.0095941,              0.0095941
                     43,                0.81995,                0.53108,                0.97236,                0.95528,                0.91954,                0.96094,                0.74344,                0.75045,                0.44415,                0.90058,              0.0095842,              0.0095842,              0.0095842
